Area_Name,Year,ACA01_No_of_persons_in_custody_or_on_bail_during_the_stage_of_investigation_at_the_beginning_of_the_year,ACA02_No_of_persons_arrested_during_the_year,ACA04_No_of_persons_in_custody_or_on_bail_during_the_stage_of_investigation_at_the_end_of_the_year,ACA05_No_of_persons_in_whose_cases_charge_sheets_were_laid_during_the_year,ACA06_No_of_persons_under_trial_at_the_beginning_of_the_year,ACA07_Total_No_of_persons_under_trial_during_the_year,ACA08_No_of_persons_whose_cases_were_withdrawn_or_otherwise_disposed_off_during_the_year,ACA09_No_of_persons_in_custody_or_on_bail_during_the_stage_of_trial_at_the_end_of_the_year,ACA10_No_of_persons_in_whose_cases_trials_were_completed_during_the_year,ACA11_No_of_persons_convicted_during_the_year,ACA12_No_of_persons_acquitted_during_the_year,ACA13_Percentage_of_persons_convicted_to_total_persons_in_whose_cases_trials_were_completed_during_the_year,ACA14_No_of_persons_involved_in_the_cases_reported_for_Regular_Departmental_Action_during_the_year,ACA15_No_of_persons_involved_in_the_cases_reported_for_suitable_action_during_the_year,ACA16_No_of_persons_punished_departmentally_during_the_year:,ACA161_No_of_persons_dismissed_from_Service_during_the_year,ACA162_No_of_persons_removed_from_service_during_the_year,ACA163_No_of_persons_awarded_other_major_punishments_during_the_year,ACA164_No_of_persons_awarded_minor_punishments_during_the_year,ACA171_No_of_Group_`A'_Officers_out_of_above,ACA172_No_of_Group_`B'_Officers_out_of_above,ACA19_No_of_private_persons_involved_during_the_year
Karnataka,2004,221.0,77.0,142.0,60.0,1262.0,1322.0,14.0,1043.0,265.0,41.0,224.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,26.0,18.0
Uttar Pradesh,2008,168.0,76.0,134.0,110.0,576.0,686.0,0.0,666.0,20.0,3.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Himachal Pradesh,2003,112.0,70.0,74.0,55.0,130.0,185.0,19.0,123.0,43.0,8.0,35.0,0.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,19.0
Nagaland,2009,17.0,68.0,68.0,68.0,17.0,17.0,1.0,17.0,14.0,14.0,2.0,0.0,2.0,2.0,0.0,5.0,0.0,12.0,3.0,72.0,3.0,1.0
Madhya Pradesh,2001,411.0,66.0,288.0,189.0,942.0,1131.0,17.0,900.0,214.0,69.0,145.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,4.0,28.0,97.0,14.0
Himachal Pradesh,2002,105.0,66.0,112.0,41.0,111.0,213.0,24.0,130.0,59.0,9.0,50.0,0.0,3.0,19.0,0.0,0.0,0.0,0.0,0.0,5.0,18.0,23.0
Bihar,2005,12.0,64.0,16.0,60.0,0.0,0.0,2.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,28.0,29.0
Delhi,2007,169.0,64.0,162.0,71.0,628.0,699.0,2.0,611.0,86.0,44.0,42.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,12.0
Delhi,2004,146.0,63.0,136.0,72.0,539.0,612.0,5.0,558.0,49.0,22.0,27.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0
Chhattisgarh,2002,74.0,62.0,76.0,60.0,261.0,321.0,6.0,210.0,105.0,49.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0
Chhattisgarh,2003,74.0,62.0,76.0,60.0,261.0,321.0,6.0,210.0,105.0,49.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0
Bihar,2003,12.0,61.0,14.0,59.0,1136.0,1195.0,1.0,1136.0,6.0,3.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,18.0,52.0
Himachal Pradesh,2001,96.0,58.0,105.0,35.0,103.0,138.0,4.0,111.0,23.0,4.0,19.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,18.0,31.0,13.0
Jammu & Kashmir,2010,0.0,56.0,53.0,109.0,2208.0,2317.0,3.0,2279.0,35.0,4.0,31.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0
Himachal Pradesh,2004,74.0,55.0,87.0,42.0,123.0,152.0,14.0,94.0,44.0,20.0,24.0,0.0,3.0,19.0,0.0,0.0,0.0,0.0,0.0,14.0,2.0,13.0
Jammu & Kashmir,2005,59.0,53.0,53.0,59.0,2110.0,2169.0,10.0,2117.0,42.0,7.0,35.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,16.0
Jharkhand,2010,52.0,52.0,77.0,0.0,0.0,52.0,0.0,77.0,0.0,1.0,1.0,0.0,311.0,311.0,12.0,0.0,0.0,4.0,8.0,54.0,86.0,53.0
Chhattisgarh,2006,54.0,50.0,70.0,34.0,215.0,249.0,0.0,228.0,21.0,6.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0
Chhattisgarh,2009,86.0,50.0,97.0,34.0,219.0,253.0,2.0,230.0,21.0,3.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0
Kerala,2001,185.0,49.0,0.0,185.0,453.0,638.0,0.0,560.0,78.0,58.0,20.0,74.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,404.0,476.0
Sikkim,2008,45.0,49.0,88.0,2.0,45.0,47.0,4.0,36.0,7.0,3.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,18.0
Chhattisgarh,2010,97.0,49.0,118.0,28.0,230.0,258.0,3.0,246.0,9.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0
Uttar Pradesh,2004,214.0,46.0,159.0,61.0,366.0,427.0,2.0,414.0,11.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0
Delhi,2010,226.0,44.0,251.0,19.0,572.0,591.0,10.0,449.0,132.0,61.0,71.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,4.0
Chandigarh,2001,9.0,43.0,35.0,12.0,60.0,72.0,0.0,71.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,33.0
Uttar Pradesh,2009,134.0,43.0,118.0,59.0,666.0,725.0,0.0,714.0,11.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Madhya Pradesh,2005,148.0,41.0,189.0,310.0,762.0,499.0,8.0,288.0,203.0,82.0,98.0,48.0,12.0,,13.0,,,1.0,12.0,2.0,11.0,4.0
Jammu & Kashmir,2003,111.0,39.0,63.0,87.0,2260.0,2347.0,13.0,2264.0,70.0,5.0,65.0,0.0,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,8.0
Chhattisgarh,2005,40.0,39.0,54.0,25.0,222.0,247.0,0.0,215.0,32.0,15.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0
Jammu & Kashmir,2006,53.0,39.0,39.0,53.0,2117.0,2170.0,1.0,2086.0,83.0,8.0,75.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
Uttar Pradesh,2002,41.0,36.0,37.0,38.0,277.0,315.0,1.0,306.0,8.0,1.0,7.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Chhattisgarh,2004,63.0,34.0,40.0,57.0,200.0,257.0,1.0,222.0,34.0,21.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,3.0
Kerala,2004,0.0,33.0,0.0,231.0,949.0,1180.0,2.0,1097.0,81.0,23.0,58.0,0.0,53.0,3.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,121.0
Sikkim,2005,10.0,32.0,32.0,10.0,34.0,44.0,2.0,39.0,3.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,24.0
Chhattisgarh,2008,77.0,31.0,86.0,19.0,219.0,238.0,1.0,206.0,31.0,9.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
Uttar Pradesh,2010,118.0,31.0,105.0,44.0,714.0,758.0,0.0,728.0,30.0,3.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jharkhand,2003,28.0,29.0,29.0,37.0,175.0,308.0,0.0,0.0,8.0,4.0,0.0,8.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0
Kerala,2006,0.0,29.0,0.0,186.0,1237.0,1423.0,1.0,1380.0,42.0,26.0,16.0,0.0,18.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0
Chandigarh,2007,51.0,29.0,67.0,13.0,84.0,97.0,2.0,87.0,8.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0
Kerala,2010,4.0,29.0,0.0,176.0,998.0,1174.0,6.0,0.0,117.0,71.0,46.0,0.0,41.0,2.0,20.0,10.0,0.0,2.0,8.0,47.0,99.0,187.0
Jammu & Kashmir,2002,259.0,28.0,111.0,176.0,2146.0,2322.0,1.0,2260.0,61.0,1.0,60.0,1.6,131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Kerala,2002,0.0,28.0,0.0,278.0,560.0,838.0,0.0,758.0,80.0,45.0,35.0,0.0,33.0,23.0,0.0,0.0,0.0,0.0,0.0,163.0,0.0,178.0
Kerala,2009,0.0,28.0,0.0,213.0,398.0,455.0,12.0,0.0,150.0,71.0,60.0,0.0,32.0,7.0,5.0,0.0,1.0,1.0,3.0,7.0,83.0,173.0
Bihar,2001,27.0,26.0,10.0,43.0,1097.0,1140.0,2.0,1128.0,10.0,8.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,17.0,23.0
Mizoram,2009,14.0,26.0,37.0,2.0,1.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,9.0
Mizoram,2010,37.0,26.0,23.0,3.0,3.0,6.0,0.0,3.0,3.0,0.0,3.0,0.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,10.0
Sikkim,2006,32.0,25.0,47.0,10.0,39.0,49.0,3.0,38.0,8.0,3.0,5.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,30.0
Jharkhand,2008,15.0,25.0,25.0,51.0,392.0,51.0,1.0,442.0,0.0,0.0,0.0,0.0,33.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
Jharkhand,2009,15.0,25.0,25.0,51.0,392.0,51.0,1.0,442.0,0.0,0.0,0.0,0.0,33.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
Bihar,2002,10.0,24.0,12.0,22.0,1128.0,1160.0,14.0,1136.0,10.0,9.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,13.0,11.0
Sikkim,2010,77.0,24.0,85.0,10.0,49.0,59.0,0.0,58.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,13.0
Kerala,2005,234.0,23.0,0.0,234.0,1097.0,1331.0,0.0,1237.0,94.0,33.0,61.0,0.0,18.0,38.0,0.0,0.0,0.0,0.0,0.0,69.0,35.0,0.0
Sikkim,2007,47.0,23.0,45.0,14.0,38.0,52.0,0.0,45.0,7.0,5.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,28.0
Nagaland,2008,14.0,23.0,32.0,5.0,14.0,19.0,0.0,17.0,2.0,1.0,1.0,0.0,32.0,12.0,0.0,0.0,0.0,0.0,12.0,8.0,4.0,4.0
Kerala,2008,0.0,22.0,0.0,193.0,1651.0,1844.0,72.0,1642.0,130.0,85.0,45.0,0.0,18.0,4.0,0.0,0.0,0.0,0.0,0.0,16.0,49.0,62.0
Kerala,2003,0.0,20.0,0.0,267.0,758.0,1025.0,2.0,949.0,74.0,26.0,48.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.0,180.0
Jammu & Kashmir,2004,63.0,20.0,59.0,24.0,2264.0,2288.0,26.0,2110.0,152.0,7.0,145.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0
Nagaland,2001,0.0,19.0,0.0,19.0,0.0,19.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,1.0,0.0,0.0,0.0,8.0,2.0,1.0
Chhattisgarh,2007,70.0,19.0,77.0,7.0,228.0,235.0,0.0,219.0,16.0,4.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0
Puducherry,2007,10.0,18.0,28.0,0.0,24.0,24.0,0.0,18.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Chandigarh,2006,46.0,17.0,51.0,10.0,77.0,87.0,1.0,84.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Nagaland,2004,0.0,16.0,16.0,2.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,258.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,119.0
Sikkim,2004,7.0,16.0,10.0,13.0,27.0,40.0,3.0,34.0,3.0,1.0,2.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,23.0
Jharkhand,2006,16.0,16.0,16.0,12.0,361.0,16.0,0.0,361.0,1.0,1.0,0.0,100.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
Uttar Pradesh,2005,159.0,15.0,135.0,43.0,414.0,457.0,6.0,436.0,15.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jharkhand,2007,15.0,15.0,15.0,18.0,377.0,15.0,0.0,392.0,0.0,0.0,0.0,0.0,19.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0
Goa,2001,8.0,14.0,17.0,4.0,24.0,28.0,0.0,27.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0
Uttar Pradesh,2003,37.0,14.0,214.0,62.0,306.0,368.0,0.0,366.0,12.0,2.0,10.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0
Nagaland,2007,14.0,14.0,14.0,4.0,10.0,14.0,0.0,14.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
Jharkhand,2004,13.0,13.0,0.0,100.0,175.0,281.0,0.0,1315.0,1.0,1.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Chandigarh,2009,62.0,13.0,23.0,52.0,95.0,147.0,0.0,133.0,14.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0
Puducherry,2005,12.0,12.0,12.0,12.0,12.0,24.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Sikkim,2009,88.0,12.0,77.0,13.0,36.0,49.0,0.0,49.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,8.0
Chandigarh,2010,23.0,12.0,23.0,12.0,133.0,145.0,0.0,153.0,13.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
Uttarakhand,2004,7.0,11.0,14.0,4.0,10.0,14.0,0.0,13.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uttarakhand,2006,19.0,11.0,27.0,3.0,15.0,18.0,0.0,18.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Mizoram,2008,6.0,11.0,14.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Puducherry,2004,7.0,10.0,12.0,5.0,9.0,14.0,0.0,13.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagaland,2010,68.0,10.0,52.0,16.0,17.0,33.0,22.0,10.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Chandigarh,2005,41.0,9.0,46.0,4.0,74.0,78.0,0.0,77.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
Puducherry,2009,13.0,9.0,21.0,1.0,64.0,65.0,1.0,62.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Manipur,2005,0.0,8.0,0.0,8.0,27.0,35.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,6.0
Goa,2010,3.0,8.0,11.0,0.0,23.0,23.0,0.0,22.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Uttarakhand,2002,5.0,7.0,6.0,5.0,8.0,13.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Uttarakhand,2005,14.0,7.0,19.0,2.0,13.0,15.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kerala,2007,0.0,7.0,0.0,396.0,1380.0,1776.0,27.0,1651.0,98.0,62.0,36.0,0.0,16.0,31.0,0.0,0.0,0.0,0.0,0.0,4.0,39.0,141.0
Chandigarh,2008,67.0,7.0,62.0,12.0,87.0,99.0,0.0,95.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Manipur,2001,4.0,6.0,3.0,2.0,16.0,18.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Chandigarh,2002,35.0,6.0,37.0,4.0,71.0,75.0,0.0,70.0,5.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0
Puducherry,2003,5.0,6.0,7.0,4.0,7.0,11.0,0.0,9.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chandigarh,2004,37.0,6.0,41.0,1.0,74.0,75.0,0.0,74.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Andaman & Nicobar Islands,2006,7.0,6.0,8.0,5.0,7.0,12.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Puducherry,2010,9.0,6.0,15.0,3.0,62.0,65.0,1.0,61.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Puducherry,2001,4.0,5.0,8.0,1.0,7.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0
Assam,2002,51.0,5.0,49.0,2.0,51.0,53.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0
Uttarakhand,2007,27.0,5.0,19.0,13.0,18.0,31.0,0.0,30.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sikkim,2001,4.0,4.0,4.0,3.0,6.0,9.0,0.0,3.0,6.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uttarakhand,2001,5.0,4.0,5.0,4.0,8.0,12.0,3.0,8.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
West Bengal,2001,33.0,4.0,33.0,4.0,53.0,57.0,0.0,56.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Manipur,2007,8.0,4.0,8.0,4.0,35.0,39.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
West Bengal,2007,2.0,4.0,3.0,1.0,36.0,37.0,0.0,9.0,28.0,0.0,28.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uttarakhand,2008,19.0,4.0,20.0,3.0,30.0,33.0,0.0,32.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assam,2001,27.0,3.0,5.0,25.0,27.0,52.0,1.0,50.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
Tripura,2001,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Manipur,2002,3.0,3.0,3.0,3.0,18.0,21.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,4.0
Sikkim,2002,4.0,3.0,7.0,0.0,7.0,7.0,0.0,3.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Chandigarh,2003,37.0,3.0,37.0,3.0,70.0,75.0,0.0,74.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,5.0
Goa,2003,7.0,3.0,4.0,5.0,33.0,38.0,1.0,34.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Manipur,2003,3.0,3.0,3.0,3.0,21.0,24.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0
Tripura,2004,1.0,3.0,4.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mizoram,2006,3.0,3.0,3.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0
Nagaland,2006,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arunachal Pradesh,2009,0.0,3.0,1.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uttarakhand,2009,20.0,3.0,16.0,7.0,32.0,39.0,0.0,38.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andaman & Nicobar Islands,2010,14.0,3.0,3.0,8.0,14.0,22.0,0.0,22.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Goa,2002,17.0,2.0,7.0,12.0,27.0,39.0,1.0,33.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Andaman & Nicobar Islands,2004,3.0,2.0,5.0,0.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Meghalaya,2005,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Goa,2006,4.0,2.0,6.0,0.0,31.0,31.0,0.0,29.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Puducherry,2006,12.0,2.0,10.0,3.0,25.0,28.0,0.0,24.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Tripura,2006,5.0,2.0,4.0,3.0,1.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Meghalaya,2007,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0
Andaman & Nicobar Islands,2008,12.0,2.0,12.0,2.0,10.0,12.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Goa,2008,7.0,2.0,4.0,5.0,23.0,28.0,0.0,27.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Puducherry,2008,28.0,2.0,7.0,21.0,18.0,39.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tripura,2009,4.0,2.0,4.0,1.0,4.0,5.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mizoram,2001,4.0,1.0,1.0,3.0,2.0,5.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mizoram,2002,3.0,1.0,4.0,4.0,4.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Andaman & Nicobar Islands,2003,3.0,1.0,3.0,1.0,3.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dadra & Nagar Haveli,2003,0.0,1.0,0.0,1.0,3.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Tripura,2003,3.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uttarakhand,2003,6.0,1.0,7.0,0.0,12.0,12.0,0.0,10.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0
West Bengal,2003,32.0,1.0,32.0,1.0,56.0,57.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assam,2004,195.0,1.0,195.0,2.0,63.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
